continent,country,year,lifeExp
Africa,Algeria,1972,54.518
Africa,Algeria,1977,58.014
Africa,Algeria,1982,61.368
Africa,Algeria,1987,65.799
Africa,Algeria,1992,67.744
Africa,Algeria,1997,69.152
Africa,Algeria,2002,70.994
Africa,Algeria,2007,72.301
Africa,Angola,1972,37.928
Africa,Angola,1977,39.483
Africa,Angola,1982,39.942
Africa,Angola,1987,39.906
Africa,Angola,1992,40.647
Africa,Angola,1997,40.963
Africa,Angola,2002,41.003
Africa,Angola,2007,42.731
Africa,Benin,1972,47.014
Africa,Benin,1977,49.19
Africa,Benin,1982,50.904
Africa,Benin,1987,52.337
Africa,Benin,1992,53.919
Africa,Benin,1997,54.777
Africa,Benin,2002,54.406
Africa,Benin,2007,56.728
Africa,Botswana,1972,56.024
Africa,Botswana,1977,59.319
Africa,Botswana,1982,61.484
Africa,Botswana,1987,63.622
Africa,Botswana,1992,62.745
Africa,Botswana,1997,52.556
Africa,Botswana,2002,46.634
Africa,Botswana,2007,50.728
Africa,Burkina Faso,1972,43.591
Africa,Burkina Faso,1977,46.137
Africa,Burkina Faso,1982,48.122
Africa,Burkina Faso,1987,49.557
Africa,Burkina Faso,1992,50.26
Africa,Burkina Faso,1997,50.324
Africa,Burkina Faso,2002,50.65
Africa,Burkina Faso,2007,52.295
Africa,Burundi,1972,44.057
Africa,Burundi,1977,45.91
Africa,Burundi,1982,47.471
Africa,Burundi,1987,48.211
Africa,Burundi,1992,44.736
Africa,Burundi,1997,45.326
Africa,Burundi,2002,47.36
Africa,Burundi,2007,49.58
Africa,Cameroon,1972,47.049
Africa,Cameroon,1977,49.355
Africa,Cameroon,1982,52.961
Africa,Cameroon,1987,54.985
Africa,Cameroon,1992,54.314
Africa,Cameroon,1997,52.199
Africa,Cameroon,2002,49.856
Africa,Cameroon,2007,50.43
Africa,Central African Republic,1972,43.457
Africa,Central African Republic,1977,46.775
Africa,Central African Republic,1982,48.295
Africa,Central African Republic,1987,50.485
Africa,Central African Republic,1992,49.396
Africa,Central African Republic,1997,46.066
Africa,Central African Republic,2002,43.308
Africa,Central African Republic,2007,44.741
Africa,Chad,1972,45.569
Africa,Chad,1977,47.383
Africa,Chad,1982,49.517
Africa,Chad,1987,51.051
Africa,Chad,1992,51.724
Africa,Chad,1997,51.573
Africa,Chad,2002,50.525
Africa,Chad,2007,50.651
Africa,Comoros,1972,48.944
Africa,Comoros,1977,50.939
Africa,Comoros,1982,52.933
Africa,Comoros,1987,54.926
Africa,Comoros,1992,57.939
Africa,Comoros,1997,60.66
Africa,Comoros,2002,62.974
Africa,Comoros,2007,65.152
Africa,Congo Dem. Rep.,1972,45.989
Africa,Congo Dem. Rep.,1977,47.804
Africa,Congo Dem. Rep.,1982,47.784
Africa,Congo Dem. Rep.,1987,47.412
Africa,Congo Dem. Rep.,1992,45.548
Africa,Congo Dem. Rep.,1997,42.587
Africa,Congo Dem. Rep.,2002,44.966
Africa,Congo Dem. Rep.,2007,46.462
Africa,Congo Rep.,1972,54.907
Africa,Congo Rep.,1977,55.625
Africa,Congo Rep.,1982,56.695
Africa,Congo Rep.,1987,57.47
Africa,Congo Rep.,1992,56.433
Africa,Congo Rep.,1997,52.962
Africa,Congo Rep.,2002,52.97
Africa,Congo Rep.,2007,55.322
Africa,Cote d'Ivoire,1972,49.801
Africa,Cote d'Ivoire,1977,52.374
Africa,Cote d'Ivoire,1982,53.983
Africa,Cote d'Ivoire,1987,54.655
Africa,Cote d'Ivoire,1992,52.044
Africa,Cote d'Ivoire,1997,47.991
Africa,Cote d'Ivoire,2002,46.832
Africa,Cote d'Ivoire,2007,48.328
Africa,Djibouti,1972,44.366
Africa,Djibouti,1977,46.519
Africa,Djibouti,1982,48.812
Africa,Djibouti,1987,50.04
Africa,Djibouti,1992,51.604
Africa,Djibouti,1997,53.157
Africa,Djibouti,2002,53.373
Africa,Djibouti,2007,54.791
Africa,Egypt,1972,51.137
Africa,Egypt,1977,53.319
Africa,Egypt,1982,56.006
Africa,Egypt,1987,59.797
Africa,Egypt,1992,63.674
Africa,Egypt,1997,67.217
Africa,Egypt,2002,69.806
Africa,Egypt,2007,71.338
Africa,Equatorial Guinea,1972,40.516
Africa,Equatorial Guinea,1977,42.024
Africa,Equatorial Guinea,1982,43.662
Africa,Equatorial Guinea,1987,45.664
Africa,Equatorial Guinea,1992,47.545
Africa,Equatorial Guinea,1997,48.245
Africa,Equatorial Guinea,2002,49.348
Africa,Equatorial Guinea,2007,51.579
Africa,Eritrea,1972,44.142
Africa,Eritrea,1977,44.535
Africa,Eritrea,1982,43.89
Africa,Eritrea,1987,46.453
Africa,Eritrea,1992,49.991
Africa,Eritrea,1997,53.378
Africa,Eritrea,2002,55.24
Africa,Eritrea,2007,58.04
Africa,Ethiopia,1972,43.515
Africa,Ethiopia,1977,44.51
Africa,Ethiopia,1982,44.916
Africa,Ethiopia,1987,46.684
Africa,Ethiopia,1992,48.091
Africa,Ethiopia,1997,49.402
Africa,Ethiopia,2002,50.725
Africa,Ethiopia,2007,52.947
Africa,Gabon,1972,48.69
Africa,Gabon,1977,52.79
Africa,Gabon,1982,56.564
Africa,Gabon,1987,60.19
Africa,Gabon,1992,61.366
Africa,Gabon,1997,60.461
Africa,Gabon,2002,56.761
Africa,Gabon,2007,56.735
Africa,Gambia,1972,38.308
Africa,Gambia,1977,41.842
Africa,Gambia,1982,45.58
Africa,Gambia,1987,49.265
Africa,Gambia,1992,52.644
Africa,Gambia,1997,55.861
Africa,Gambia,2002,58.041
Africa,Gambia,2007,59.448
Africa,Ghana,1972,49.875
Africa,Ghana,1977,51.756
Africa,Ghana,1982,53.744
Africa,Ghana,1987,55.729
Africa,Ghana,1992,57.501
Africa,Ghana,1997,58.556
Africa,Ghana,2002,58.453
Africa,Ghana,2007,60.022
Africa,Guinea,1972,38.842
Africa,Guinea,1977,40.762
Africa,Guinea,1982,42.891
Africa,Guinea,1987,45.552
Africa,Guinea,1992,48.576
Africa,Guinea,1997,51.455
